"Xu Yiyang","徐艺洋","N/A","1997","ne","81"

"Yuan Jiayi","袁嘉艺","N/A","1998","ne","83"
"Yu Yangzi","于扬子","IEone Entertainment","????","ne","84"
"Yu Ziyu","余子鱼","IEone Entertainment","????","ne","85"
"Zeng Shuyan","曾淑岩","SDT Entertainment","2000","ne","86"
"Zeng Xueyao","曾雪瑶","Tian Hao Entertainment","2001","ne","87"
"Zhang Chunru","张纯如","NAHAN Culture","1999","ne","88"
"Zhang Qing","张清","AIF Entertainment","2000","ne","89"
"Zhang Xinmei","张欣媚","Tian Hao Entertainment","1994","ne","90"
"Zhang Xinwen","张馨文","Papitube Entertainment","1996","ne","91"
"Zhang Xinyun","张馨允","SDT Entertainment","????","ne","92"
"Zhang Yazhuo","张雅卓","NOK Media Entertainment","1995","ne","93"
"Zhong Feifei","仲菲菲","Egg World Culture Entertainment","1996","ne","96"
"Zhong Xin","钟欣","N/A","1996","ne","97"
"Zhao Tianai","赵天爱","Top One Culture","2000","ne","98"
"Zhou Yulin","周雨霖","TOP CLASS Entertainment","????","ne","99"
"Zhu Ling","朱苓","SKB48 China","2001","ne","100"
